Date,Open,High,Low,Close
2023-09-04,162.63,171.33,153.05,167.05
2023-09-11,132.41,140.57,123.79,137.74
2023-09-21,185.01,194.06,176.38,184.37
2023-09-19,199.18,199.33,197.44,198.07
2023-09-26,153.27,153.65,152.42,152.64
2023-09-13,142.23,150.56,136.43,141.1
2023-09-28,114.99,115.22,105.59,109.73
2023-09-16,182.55,190.75,180.45,188.24
2023-09-30,113.07,115.27,104.31,106.0
2023-09-12,121.89,129.03,119.01,120.96
2023-09-06,111.71,115.86,104.0,110.19
2023-09-08,195.1,200.51,187.06,199.75
2023-09-23,104.77,111.47,99.55,107.27
2023-09-23,120.12,125.24,115.77,123.69
2023-09-26,100.9,101.55,100.26,100.87
2023-09-08,179.71,183.54,172.91,173.34
2023-09-01,146.72,156.14,138.14,140.15
2023-09-08,143.34,148.44,142.22,142.39
2023-09-29,104.42,107.35,94.64,94.92
2023-09-12,106.42,111.46,96.68,98.15
